,id,url,title,seller,price,deal_of_the_day
0,B084872DQY,https://www.amazon.in/dp/B084872DQY,Mi TV 4A PRO 80 cm (32 inches) HD Ready Android LED TV (Black) | With Data Saver,Brand: MI,₹14999.0,13499.0
1,B086WZSK4F,https://www.amazon.in/dp/B086WZSK4F,Samsung 80 cm (32 Inches) Wondertainment Series HD Ready LED Smart TV UA32T4340AKXXL (Glossy Black) (2020 Model),Visit the Samsung Store,₹19900.0,14499.0
2,B07MGQS2M8,https://www.amazon.in/dp/B07MGQS2M8,eAirtec 61 cm (24 inches) HD Ready LED TV 24DJ (Black) (2020 Model),Visit the eAirtec Store,₹8499.0,6399.0
3,B08B42LWKN,https://www.amazon.in/dp/B08B42LWKN,OnePlus Y Series 80 cm (32 inches) HD Ready LED Smart Android TV 32Y1 (Black) (2020 Model),Visit the OnePlus Store,₹19999.0,13990.0
4,B07T89Z35Z,https://www.amazon.in/dp/B07T89Z35Z,Mi TV 4A PRO 108 cm (43 Inches) Full HD Android LED TV (Black) | With Data Saver,Brand: MI,₹25999.0,22499.0
5,B086RB1XCK,https://www.amazon.in/dp/B086RB1XCK,Samsung 80 cm (32 inches) Wondertainment Series HD Ready LED Smart TV UA32TE40AAKXXL (Titan Gray) (2020 model),Visit the Samsung Store,₹20900.0,15489.0
6,B084L6MSSN,https://www.amazon.in/dp/B084L6MSSN,Samsung 80 cm (32 Inches) HD Ready LED TV UA32T4010ARXXL (Black) (2020 model),Visit the Samsung Store,₹12475.0,
7,B07MNF89L2,https://www.amazon.in/dp/B07MNF89L2,eAirtec 81 cm (32 inches) HD Ready LED TV 32DJ (Black) (2020 Model),Visit the eAirtec Store,₹11400.0,8499.0
8,B07XMD275S,https://www.amazon.in/dp/B07XMD275S,Vu 108 cm (43 inches) Full HD UltraAndroid LED TV 43GA (Black) (2019 Model),Brand: VU,₹31000.0,24999.0
9,B07MNH2VR8,https://www.amazon.in/dp/B07MNH2VR8,eAirtec 102 cm (40 inches) HD Ready Smart LED TV 40DJSM (Black) (2020 Model),Visit the eAirtec Store,₹19999.0,12999.0
10,B08CS3BT4L,https://www.amazon.in/dp/B08CS3BT4L,Kodak 80 cm (32 Inches) HD Certified Android LED TV 32HDX7XPRO (Black) (2020 Model),Visit the Kodak Store,₹13999.0,10999.0
11,B07TMFQMJC,https://www.amazon.in/dp/B07TMFQMJC,LG 80 cms (32 Inches) HD Ready LED Smart TV 32LM560BPTC with IPS Display & WebOS (2019 Model),Visit the LG Store,₹17550.0,
12,B079ZSFJRG,https://www.amazon.in/dp/B079ZSFJRG,Kevin 60 cm (24 Inches) HD Ready LED TV KN24832 (Black) | With Inbuilt Soundbar,Visit the Kevin Store,₹11000.0,6499.0
13,B07M9K7HX8,https://www.amazon.in/dp/B07M9K7HX8,eAirtec 81 cm (32 inches) HD Ready Smart LED TV 32DJSM (Black) (2020 Model),Visit the eAirtec Store,₹13600.0,9899.0
14,B0188YS2CM,https://www.amazon.in/dp/B0188YS2CM,Sony Bravia 59.9 cm (24 Inches) HD Ready LED TV KLV-24P413D (Black),Brand: Sony,₹12499.0,
15,B07R7J1D39,https://www.amazon.in/dp/B07R7J1D39,Koryo 80 cm (32 inches) HD Ready LED TV KLE32DNFLD70T,Visit the Koryo Store,₹22990.0,8999.0
